time,set_alt,alt,airspeed,groundspeed,gcs_speed,set_speed,commanded_speed
209,428.17057848,434.8,23.8874664307,24.423784256,16.27186372,16.2867456309,16.2
210,426.498841842,433.19,23.8056297302,24.1959209442,16.27186372,16.2474842364,16.09
211,424.829864899,431.59,23.5591850281,23.996301651,16.27186372,16.1645307325,15.93
212,423.155791759,429.96,23.250333786,23.7900524139,16.27186372,16.0418301021,15.74
213,421.487678289,428.3,23.4378070831,23.6006946564,16.27186372,15.8858960134,15.52
214,419.817621708,426.569,23.0302696228,23.3351955414,16.27186372,15.7103412946,15.27
215,418.146369855,424.789,22.8932914734,23.2105884552,16.27186372,15.5326253666,15.03
216,416.478081544,422.639,22.615896225,22.9787559509,16.27186372,15.1517563616,15.0
217,414.802766641,421.08,22.6118354797,22.7219581604,16.27186372,15.0295088945,15.0
218,413.132243156,419.81,21.7204742432,22.2396965027,16.27186372,14.9439449379,15.0
219,411.462868452,418.479,21.3889751434,21.830373764,16.27186372,14.8564000995,15.0
220,409.7917068,417.099,21.1890354156,21.5022964478,16.27186372,14.7290792646,15.0
221,408.119986852,415.699,20.9830932617,21.213809967,16.27186372,14.5776297469,15.0
222,406.448808511,414.259,20.7217750549,20.9467048645,16.27186372,14.4041565198,15.0
223,404.780913194,412.639,20.1500225067,20.590007782,16.27186372,14.2175431877,15.0
224,403.105851809,410.71,19.846830368,20.1860275269,17.9798178,29.3714999401,15.0
225,401.436138153,408.86,19.9426994324,19.941740036,17.9798178,38.6401188623,32.61
226,399.762175083,405.38,22.2362117767,22.5172157288,17.9798178,51.2677677946,35.0
227,398.079859813,402.289,24.7071704865,25.1821918488,17.9798178,66.342147341,35.0
228,396.385466655,399.85,26.4722824097,27.0042076111,17.9798178,80.3435844195,35.0
229,394.70178167,398.99,27.2669315338,27.7670249939,17.9798178,86.2941202156,35.0
230,392.828675111,399.02,27.5684566498,28.1106472015,17.9798178,85.9151821717,35.0
231,390.945374966,399.52,26.6690330505,27.1056175232,17.9798178,79.3033828735,35.0
232,389.266473452,398.78,25.6540737152,26.0510025024,17.9798178,75.8018697014,35.0
233,387.598499854,396.91,25.6518421173,26.0353946686,17.9798178,72.4863358694,35.0
234,385.929359992,394.169,26.3752269745,26.795797348,17.9798178,66.1869584848,35.0
235,384.195823272,392.169,27.1221656799,27.4851703644,17.9798178,62.6428848088,35.0
236,382.484808366,390.16,27.3984375,27.862039566,16.75544108,16.9326547309,16.94
237,380.768605073,388.16,27.2680912018,27.5675258636,16.75544108,17.0374213035,17.12
238,379.09804821,387.08,27.0338344574,27.3113632202,16.75544108,17.2414257127,17.24
239,377.405688365,386.13,25.3754463196,26.0513477325,16.75544108,17.2012848451,17.52
240,375.410259962,384.86,24.621213913,25.1944007874,16.75544108,17.2294120113,17.36
241,373.733921846,382.9,24.1205978394,24.6155452728,16.75544108,17.1536344331,17.34
242,371.749083201,381.19,24.1108474731,24.382774353,16.75544108,17.1946277471,17.22
243,370.07270654,378.919,24.005437851,24.214056015,16.75544108,17.2568758538,17.26
244,368.008778493,377.03,23.7301445007,24.1223697662,16.75544108,17.3716293572,17.31
245,366.334776481,374.43,23.5720176697,24.0891017914,16.75544108,17.3927524765,17.31
246,364.665985107,372.49,23.7872467041,24.1029872894,16.75544108,17.3952447104,17.28
247,362.996726831,371.21,23.753742218,23.9334411621,16.75544108,17.4340869314,17.22
248,361.3225317,369.19,23.156124115,23.5715026855,16.75544108,17.3032520388,16.96
249,359.654363394,367.509,22.8705043793,23.428396225,16.75544108,17.1858420674,16.8
250,357.987465064,365.81,22.9772052765,23.349899292,16.75544108,17.035453799,16.58
251,356.315876643,364.139,22.7808742523,23.2305488586,16.75544108,16.8661225495,16.35
252,354.647573233,362.539,22.7419681549,23.0265674591,16.75544108,16.6807500015,16.1
253,352.976164818,360.87,22.3619670868,22.7906131744,16.75544108,16.5054447708,15.87
254,351.299794912,358.78,22.0104751587,22.4396305084,16.75544108,16.0996442357,15.67
255,349.62902983,357.139,21.6246185303,22.1488285065,16.75544108,15.9936231927,15.2
256,347.961049875,355.699,21.3037700653,21.9245815277,16.75544108,15.8822937781,15.07
257,346.28835996,354.3,21.1613502502,21.5710754395,16.75544108,15.7635836594,15.0
258,344.618388414,352.91,20.8203926086,21.1953296661,16.75544108,15.6154551279,15.0
259,342.946938276,351.5,20.579082489,20.7786064148,16.75544108,15.459883426,15.0
260,341.27568682,350.09,19.945941925,20.3520050049,16.75544108,15.2978611767,15.0
261,339.605636597,348.37,19.6045837402,20.062625885,16.75544108,15.1354370489,15.0
262,337.934215069,346.13,19.5214271545,19.8239936829,16.75544108,14.5971679042,15.0
263,336.263835033,344.669,19.143611908,19.5671882629,16.75544108,14.4357698412,15.0
264,334.588098526,343.38,18.8665103912,19.186006546,16.75544108,14.2908654358,15.0
265,332.920746803,341.75,18.5500240326,18.8309593201,16.75544108,13.7963641646,15.0
266,331.250176827,340.82,18.1584377289,18.5100688934,16.75544108,14.0857205088,15.0
267,329.575571616,339.55,17.9572753906,18.260011673,16.75544108,14.0068796777,15.0
268,327.899471521,338.33,17.873664856,17.9700431824,16.75544108,13.9647885663,15.0
269,326.109788418,336.72,17.3241939545,17.7304763794,16.75544108,13.5512367169,15.0
270,324.43216006,335.22,16.8883934021,17.3717975616,16.75544108,13.1638843146,15.0
271,322.621913354,333.449,17.1480789185,17.3911495209,16.75544108,13.1634542918,15.0
272,320.821795066,331.65,17.1249446869,17.5404090881,16.75544108,13.167300516,15.0
273,319.153001706,329.509,17.3392791748,17.6301803589,16.75544108,12.7284505234,15.0
274,317.368079821,327.96,17.4376869202,17.6102828979,16.75544108,12.7181697435,15.0
275,315.564415058,326.479,17.3100605011,17.5606403351,16.75544108,12.7000192705,15.0
